,level_0,index,Health Facility Code Short_x,Facility Name,Old Health Facility Names,Old Health Facility Name 2,Health Facility Type,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Ownership Sub-Classification for private facilities,Street Name and #           ,Building name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Official Website,Hospital Licensing Status,Service Capability,Bed Capacity,target,lat,lon,Health Facility Code Short_y
15,78,78,3354,SIASI DISTRICT HOSPITAL,,,Hospital,Government,National Government,,CAMPO ISLAM,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,SULU,156600000,SIASI,156612000,CAMPO ISLAM,156612008,7412,,With License,Level 1,25.0,1,5.5418749,120.8178814,10
18,107,107,5030,SULU PROVINCIAL HOSPITAL,,,Hospital,Government,National Government,,ASTURIAS STREET,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,SULU,156600000,JOLO (Capital),156602000,ASTURIAS,156602002,7400,,With License,Level 2,100.0,1,6.0466105,121.0016102,10
19,110,110,5469,SULU SANITARIUM,,,Hospital,Government,Department Of Health,,SAN RAYMUNDO STREET,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,SULU,156600000,JOLO (Capital),156602000,SAN RAYMUNDO,156602007,7400,,With License,Level 1,75.0,1,6.050345,121.006014,10
20,115,115,5763,TUAN LIGADDUNG LIPAE MEMORIAL HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,TAWI-TAWI,157000000,SAPA-SAPA,157010000,,,7503,,With License,Level 1,25.0,1,5.01887,120.199599,8
22,119,119,6002,CAMP SIONGCO STATION HOSPITAL,,,Hospital,Government,Department of National Defense,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,MAGUINDANAO,153800000,DATU ODIN SINSUAT (DINAIG),153807000,AWANG,153807002,9601,,With License,Level 1,50.0,1,7.188866999999999,124.184082,13
23,128,128,6882,HOLY FAMILY HOSPITAL,,,Hospital,Private,,,LAGUERRE STREET,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,TAWI-TAWI,157000000,BONGAO (Capital),157002000,PAG-ASA,157002047,7500,,With License,Level 1,,1,5.030715,119.769127,8
24,129,129,7075,DATU BLAH T. SINSUAT DISTRICT HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,MAGUINDANAO,153800000,UPI,153815000,,,9602,,With License,Level 1,10.0,1,7.019851399999999,124.1649263,13
25,142,142,7526,TAMPARAN DISTRICT HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,TAMPARAN,153626000,PICARABAWAN,153626034,9704,,With License,Level 1,25.0,1,7.880045999999998,124.332955,17
26,144,144,7712,UNAYAN MUNICIPAL HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,BINIDAYAN,153605000,PAGALAMATAN (POB.),153605020,9310,,With License,Level 1,10.0,1,7.800885000000001,124.166572,17
27,145,145,7714,DATU ALAWADIN BANDON SR. MEMORIAL HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,TAWI-TAWI,157000000,SIBUTU,157011000,,,7506,,With License,Level 1,10.0,1,4.8402333,119.4590288,8
28,158,158,7732,PARANG DISTRICT HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,SULU,156600000,PARANG,156609000,KANAWAY,156609016,7408,,With License,Level 1,25.0,1,5.9133339,120.9052545,10
30,160,160,7734,LUUK DISTRICT HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,SULU,156600000,LUUK,156604000,TUBIG-PUTI (POB.),156604021,7404,,With License,Level 1,25.0,1,5.967575,121.3097323,10
33,229,229,7989,TAWI-TAWI DOCTOR'S HOSPITAL, , ,Hospital,Private, , , , ,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,TAWI-TAWI,157000000,BONGAO (Capital),157002000, , ,7500, ,Without License,0,,1,5.0275376,119.7742781,8
34,230,230,8577,COTABATO SANITARIUM,,,Hospital,Government,Department Of Health,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,MAGUINDANAO,153800000,SULTAN KUDARAT (NULING),153812000,UNGAP,153812051,9605,,With License,Level 1,140.0,1,7.235902899999999,124.2691456,13
36,279,279,23633,DINAIG MUNICIPAL HOSPITAL,,,Hospital,Government,National Government,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,MAGUINDANAO,153800000,DATU ODIN SINSUAT (DINAIG),153807000,DALICAN POBLACION,153807013,9601,,With License,Level 1,10.0,1,7.0239866,124.3120147,13
38,281,281,23636,"TAMPARAN MEDICAL FOUNDATION, INC. HOSPITAL",,,Hospital,Private,,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,TAMPARAN,153626000,PICARABAWAN,153626034,9704,,With License,Level 1,35.0,1,7.8764327,124.3279678,17
40,283,283,23639,BONGAO DOCTOR'S HOSPITAL,,,Hospital,Private,,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,TAWI-TAWI,157000000,BONGAO (Capital),157002000,TUBIG-MAMPALLAM,157002050,7500,,With License,Level 1,,1,5.0275376,119.7742781,8
41,284,284,23641,SALAAM HOSPITAL,,,Hospital,Private,,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),150000000,LANAO DEL SUR,153600000,MARAWI CITY (Capital),153617000,DAGUDUBAN,153617033,9700,,With License,Level 1,20.0,1,8.0040354,124.2953511,17
53,971,14,262,DENNIS MOLINTAS DISTRICT HOSPITAL,DENNIS MOLINTAS MEMORIAL HOSPITAL,,Hospital,Government,Local Government Unit,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,BOKOD,141104000,DACLAN,141104004,2605.0,,With License,Level 1,10.0,1,16.5096734,120.8235118,19
54,972,15,274,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,DR. EFRAIM MONTEMAYOR MEMORIAL MEDICAL CENTER,,Hospital,Government,Department Of Health,,GOVERNOR PACK ROAD,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,BAGUIO CITY,141102000,BGH COMPOUND,141102131,2600.0,,With License,Level 3,500.0,1,16.4009911,120.5956827,19
55,973,16,320,BANGUED CHRISTIAN HOSPITAL,,,Hospital,Private,,,TORRIJOS STREET,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,ABRA,140100000,BANGUED (Capital),140101000,ZONE 5 POB. (BO. BARIKIR),140101028,2800.0,,With License,Level 1,17.0,1,17.5958127,120.6211783,10
56,974,17,321,ST. THEODORE'S HOSPITAL,,,Hospital,Private,,,STAUNTON ROAD,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,MOUNTAIN PROVINCE,144400000,SAGADA,144409000,POBLACION (PATAY),144409014,2619.0,,With License,Level 1,17.0,1,17.0848622,120.9020704,7
57,975,18,349,ST. PETER CLAVER HOSPITAL,,,Hospital,Private,,,#12 GEN. LUNA STREET,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,KALINGA,143200000,CITY OF TABUK (Capital),143213000,DAGUPAN CENTRO (POB.),143213029,3800.0,,Without License,0,,1,17.4681668,121.4664715,11
58,976,19,356,DR. PETRONILO V. SEARES SR. MEMORIAL HOSPITAL,,,Hospital,Private,,,PEÑARRUBIA STREET,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,ABRA,140100000,BANGUED (Capital),140101000,ZONE 4 POB. (TOWN PROPER),140101027,2800.0,,With License,Level 1,24.0,1,17.5986197,120.6155083,10
59,977,20,368,LEPANTO CONSOLIDATED MINING COMPANY HOSPITAL,,,Hospital,Private,,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,MANKAYAN,141111000,PACO,141111008,2608.0,,With License,Level 1,,1,16.864254,120.780301,19
60,978,21,371,LUTHERAN HOSPITAL INCORPORATED,LUTHERAN MEDICAL MISSION AND REHABILITATION FOUNDATION INC.,,Hospital,Private,,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,BUGUIAS,141105000,ABATAN,141105001,2607.0,,With License,Level 1,35.0,1,16.8061356,120.8239138,19
61,981,24,930,BAGUIO REPRODUCTIVE HEALTH WELLNESS CENTER,BAGUIO CITY HEALTH OFFICE, ,Hospital,Government,Local Government Unit, ,LUCBAN T. ALONZO STREET, ,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,BAGUIO CITY,141102000,NEW LUCBAN,141102076,2600.0, ,Without License,0,,1,16.4214815,120.595606,19
63,984,27,1788,CONNER DISTRICT HOSPITAL,,,Hospital,Government,Department Of Health,,MABUBUA,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,APAYAO,148100000,CONNER,148102000,CALAFUG,148102004,3807.0,,With License,Level 1,25.0,1,17.8007847,121.3225347,7
65,987,30,1916,BENGUET GENERAL HOSPITAL,,,Hospital,Government,Local Government Unit,,KILOMETER 5,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,LA TRINIDAD (Capital),141110000,PICO,141110011,2601.0,,With License,Level 2,150.0,1,16.4507651,120.5891329,19
66,990,33,2113,PINES CITY DOCTOR'S HOSPITAL,,,Hospital,Private,,,MAGSAYSAY AVENUE,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,BAGUIO CITY,141102000,"MAGSAYSAY, LOWER",141102065,2600.0,,With License,Level 2,110.0,1,16.426903,120.594532,19
71,1007,50,2714,IFUGAO GENERAL HOSPITAL,,,Hospital,Government,Local Government Unit,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,IFUGAO,142700000,LAGAWE (Capital),142704000,CUDOG,142704010,3600.0,,Without License,0,,1,16.8058897,121.1189322,9
74,1016,59,3051,TANUDAN MUNICIPAL HOSPITAL, , ,Hospital,Government,Local Government Unit, , , ,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,KALINGA,143200000,TANUDAN,143214000, , ,3805.0, ,Without License,0,,1,17.2625583,121.2397438,11
75,1020,63,3179,LUIS HORA MEMORIAL REGIONAL HOSPITAL,,,Hospital,Government,Department Of Health,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,MOUNTAIN PROVINCE,144400000,BAUKO,144402000,ABATAN,144402001,2621.0,,With License,Level 2,75.0,1,16.9810322,120.8537722,7
77,1024,67,3285,BAGUIO MEDICAL CENTER,,,Hospital,Private,,,MILITARY CUT-OFF ROAD,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,BAGUIO CITY,141102000,MILITARY CUT-OFF,141102071,2600.0,,With License,Level 1,,1,16.4019617,120.5975916,19
78,1027,70,3376,FAR NORTH LUZON GENERAL HOSPITAL AND TRAINING CENTER,,,Hospital,Government,Department Of Health,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,APAYAO,148100000,LUNA,148105000,QUIRINO,148105008,3813.0,,With License,Level 1,100.0,1,18.3395298,121.3838224,7
81,1039,82,3870,POTIA DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,IFUGAO,142700000,ALFONSO LISTA (POTIA),142707000,SANTA MARIA,142707017,3608.0,,With License,Level 1,25.0,1,16.927026,121.4896226,9
84,1042,85,4003,NOTRE DAME DE CHARTRES HOSPITAL,,,Hospital,Private,,,25 UPPER GENERAL LUNA ROAD,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,BAGUIO CITY,141102000,"GENERAL LUNA, UPPER",141102038,2600.0,,With License,Level 2,104.0,1,16.4154501,120.598656,19
85,1043,86,4073,PARACELIS DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,DAGAWE,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,MOUNTAIN PROVINCE,144400000,PARACELIS,144406000,POBLACION,144406009,2625.0,,With License,Level 1,25.0,1,17.1293741,121.4283121,7
86,1045,88,4094,PANOPDOPAN DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,BANNIT,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,IFUGAO,142700000,LAMUT,142705000,MABATOBATO (LAMUT),142705007,3605.0,,With License,Level 1,25.0,1,16.6776989,121.2021369,9
88,1054,97,4461,ATOK DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,SAYANGAN,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,ATOK,141101000,PAOAY,141101005,2612.0,,With License,Level 1,15.0,1,16.6273252,120.7669795,19
90,1056,99,4486,BAGUIO FILIPINO CHINESE GENERAL HOSPITAL, , ,Hospital,Private, , ,M. ROXAS STREET, ,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,BAGUIO CITY,141102000,MANUEL A. ROXAS,141102148,2600.0, ,Without License,0,,1,16.4223797,120.5989987,19
93,1061,104,4633,ALMORA GENERAL HOSPITAL,,,Hospital,Private,,,PUROK IV,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,KALINGA,143200000,CITY OF TABUK (Capital),143213000,BULANAO,143213008,3800.0,,With License,Level 1,,1,17.450001,121.458342,11
95,1074,117,5448,BESAO DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,MOUNTAIN PROVINCE,144400000,BESAO,144403000,KIN-IWAY (POB.),144403015,2618.0,,With License,Level 1,25.0,1,17.0953086,120.8556433,7
97,1076,119,5562,HOLY TRINITY MEDICAL CLINIC,,,Hospital,Private,,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,KALINGA,143200000,CITY OF TABUK (Capital),143213000,BULANAO,143213008,3800.0,,With License,Level 1,,1,17.3578425,121.4349693,11
98,1077,120,5634,KALINGA PROVINCIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,KALINGA,143200000,CITY OF TABUK (Capital),143213000,BULANAO,143213008,3800.0,,With License,Level 1,100.0,1,17.3578425,121.4349693,11
102,1090,133,6556,ABRA PROVINCIAL HOSPITAL,,,Hospital,Government,Local Government Unit,,,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,ABRA,140100000,BANGUED (Capital),140101000,CALABA,140101006,2800.0,,With License,Level 1,155.0,1,17.6069046,120.6181777,10
103,1091,134,6557,BONTOC GENERAL HOSPITAL,,,Hospital,Government,Local Government Unit,,MALIGCONG ROAD,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,MOUNTAIN PROVINCE,144400000,BONTOC (Capital),144404000,CALUTIT,144404017,2616.0,,With License,Level 1,100.0,1,17.0937063,120.9765676,7
105,1093,136,6689,ST. LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,,,Hospital,Private,,,ASSUMPTION ROAD EXTENSION,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,BAGUIO CITY,141102000,A. BONIFACIO-CAGUIOA-RIMANDO (ABCR),141102125,2600.0,,With License,Level 3,180.0,1,16.4173353,120.5979248,19
109,1939,982,30035,ABRA CHILDREN'S CLINIC, , ,Hospital,Private, , ,ACTIVIDAD ECONOMIA STREET, ,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,ABRA,140100000,BANGUED (Capital),140101000,ZONE 1 POB. (NALASIN),140101031,2800.0, ,Without License,0,,1,17.6024423,120.61797,10
111,1947,990,33716,CORDILLERA HOSPITAL OF THE DIVINE GRACE,,,Hospital,Private,,Single Proprietorship,MB-73,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,BENGUET,141100000,LA TRINIDAD (Capital),141110000,PUGUIS,141110013,2601.0,,With License,Level 2,74.0,1,16.452586,120.574424,19
113,2048,1091,38398,SAN JUAN GENERAL HOSPITAL,,,Hospital,Private,,,PUROK 5,,CORDILLERA ADMINISTRA TIVE REGION (CAR),140000000,KALINGA,143200000,CITY OF TABUK (Capital),143213000,SAN JUAN,143213030,3800.0,,With License,Level 1,20.0,1,17.4297928,121.4464666,11
115,2052,3,23,BANGUI DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,,,REGION I (ILOCOS REGION),10000000,ILOCOS NORTE,12800000,BANGUI,12804000,ABACA,012804001,2920.0,,With License,Level 1,25.0,1,18.5334207,120.7618443,20
117,2061,12,243,MAPANDAN COMMUNITY HOSPITAL,MAPANDAN MUNICIPAL HOSPITAL,,Hospital,Government,Local Government Unit,,24 FIRE FREE STREET,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,MAPANDAN,15528000,POBLACION,015528014,2429.0,,With License,Level 1,20.0,1,16.0244553,120.4563647,67
118,2064,15,254,ILOCOS SUR DISTRICT HOSPITAL - SINAIT,SINAIT DISTRICT HOSPITAL,,Hospital,Government,Local Government Unit,,NATIONAL HIGHWAY,,REGION I (ILOCOS REGION),10000000,ILOCOS SUR,12900000,SINAIT,12930000,CURTIN,012930013,2733.0,,With License,Level 1,25.0,1,17.8543394,120.4547761,29
119,2065,16,265,URDANETA DISTRICT HOSPITAL,DON AMADEO J. PEREZ SR. MEMORIAL GENERAL HOSPITAL,,Hospital,Government,Local Government Unit,,,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,CITY OF URDANETA,15546000,DILAN PAURIDO,015546018,2428.0,,With License,Level 1,110.0,1,15.9738962,120.577969,67
120,2066,17,273,REGION I MEDICAL CENTER,,,Hospital,Government,Department Of Health,,ARELLANO STREET,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,DAGUPAN CITY,15518000,PANTAL,015518022,2400.0,,With License,Level 3,300.0,1,16.0485481,120.3415708,67
122,2068,19,281,ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL,MAGSINGAL DISTRICT HOSPITAL,,Hospital,Government,Local Government Unit,,NATIONAL HIGHWAY,,REGION I (ILOCOS REGION),10000000,ILOCOS SUR,12900000,MAGSINGAL,12912000,SANTA MONICA,012912038,2730.0,,With License,Level 1,25.0,1,17.6893939,120.4278186,29
123,2069,20,285,"C AND H MEDICAL AND SURGICAL CLINIC, INC.",,,Hospital,Private,,,SADSARAN STREET,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,CITY OF ALAMINOS,15503000,POBLACION,015503021,2404.0,,With License,Level 1,8.0,1,16.1587892,119.9763066,67
126,2072,23,301,DEL CARMEN MEDICAL CLINIC AND HOSPITAL,,,Hospital,Private,,,MCARTHUR HIGHWAY,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,ROSALES,15531000,CARMEN WEST,015531010,2441.0,,With License,Level 1,,1,15.8828866,120.5988184,67
127,2073,24,307,DAGUPAN ORTHOPEDIC CENTER, , ,Hospital,Private, , , , ,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,DAGUPAN CITY,15518000,TAPUAC,015518031,2400.0, ,Without License,0,,1,16.030071,120.328823,67
128,2074,25,312,AGOO FAMILY HOSPITAL,,,Hospital,Private,,,MC ARTHUR HIGHWAY,,REGION I (ILOCOS REGION),10000000,LA UNION,13300000,AGOO,13301000,SAN PEDRO,013301035,2504.0,,With License,Level 1,15.0,1,16.3439301,120.3601699,13
130,2076,27,340,"CUISON HOSPITAL, INC.",CUISON FAMILY CLINIC,,Hospital,Private,,,BURGOS STREET,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,DAGUPAN CITY,15518000,POBLACION OESTE,015518023,2400.0,,With License,Level 1,,1,16.0409566,120.3338584,67
131,2077,28,343,PIRA HOSPITAL,,,Hospital,Private,,Single Proprietorship,NATIONAL HIGHWAY,,REGION I (ILOCOS REGION),10000000,ILOCOS SUR,12900000,CABUGAO,12905000,RIZAL (POB.),012905026,2732.0,,With License,Level 1,29.0,1,17.7922414,120.4544395,29
133,2079,30,359,RESONABLE HOSPITAL,,,Hospital,Private,,Single Proprietorship,43 MADARANG STREET,,REGION I (ILOCOS REGION),10000000,ILOCOS SUR,12900000,CITY OF CANDON,12906000,SAN JOSE (POB.),012906038,2710.0,,With License,Level 1,24.0,1,17.191137,120.4494479,29
134,2080,31,364,RAMIREZ BAUTISTA MEMORIAL HOSPITAL,OUR LADY OF PURIFICATION DOCTORS HOSPITAL,,Hospital,Private,,,MABINI STREET,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,BINMALEY,15513000,POBLACION,015513026,2417.0,,With License,Level 1,18.0,1,16.029958,120.26929,67
135,2081,32,365,REYES ULEP CLINIC AND HOSPITAL,REYES CLINIC AND HOSPITAL,,Hospital,Private,,Single Proprietorship,SIMPSON STREET,RUCH BUILDING,REGION I (ILOCOS REGION),10000000,ILOCOS SUR,12900000,SANTA MARIA,12926000,LINGSAT,012926018,2705.0,,With License,Level 1,18.0,1,17.3660909,120.4819429,29
136,2082,33,370,ELGUIRA GENERAL HOSPITAL,,,Hospital,Private,,,259 RIZAL AVENUE,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,SAN CARLOS CITY,15532000,RIZAL (POB.),015532075,2420.0,,With License,Level 2,,1,15.9375393,120.3465684,67
137,2083,34,373,LUZON MEDICAL CENTER INC.,,,Hospital,Private,,,329 MCARTHUR HIGHWAY,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,DAGUPAN CITY,15518000,TAPUAC,015518031,2400.0,,With License,Level 2,70.0,1,16.0334918,120.3322728,67
138,2084,35,375,"ALAMINOS DOCTORS HOSPITAL, INC.",,,Hospital,Private,,,,,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,CITY OF ALAMINOS,15503000,BOLANEY,015503007,2404.0,,With License,Level 1,42.0,1,16.1307902,119.9706659,67
139,2085,36,376,ST. JAMES HOSPITAL VQR MEDICAL FOUNDATION,ST. JAMES HOSPITAL, ,Hospital,Private, ,Corporation, , ,REGION I (ILOCOS REGION),10000000,ILOCOS SUR,12900000,CITY OF VIGAN (Capital),12934000,PANTAY DAYA,012934022,2700.0, ,With License,0,,1,17.5791629,120.3789485,29
140,2086,37,400,"LORMA MEDICAL CENTER, INC.",,,Hospital,Private,,,NATIONAL HIGHWAY,,REGION I (ILOCOS REGION),10000000,LA UNION,13300000,CITY OF SAN FERNANDO (Capital),13314000,LINGSAT,013314030,2500.0,,With License,Level 3,200.0,1,16.6315149,120.3178716,13
141,2087,38,413,BANEZ HOSPITAL, , ,Hospital,Private, , , , ,REGION I (ILOCOS REGION),10000000,PANGASINAN,15500000,ROSALES,15531000,CARMEN WEST,015531010,2441.0, ,Without License,0,,1,15.8797088,120.6007272,67
