"Date and Time Downloaded : 12/30/2020 03:18:14 pm""Health Facility Code""",Health Facility Code Short,Facility Name,Old Health Facility Names,Old Health Facility Name 2,Old Health Facility Name 3,Health Facility Type,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Ownership Sub-Classification for private facilities,Street Name and #           ,Building name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Landline Number,Landline Number 2,Fax Number,Email Address,Alternate Email Address,Official Website,Facility Head: Last Name,Facility Head: First Name,Facility Head: Middle Name,Facility Head: Position,Hospital Licensing Status,Service Capability,Bed Capacity,lon,lat,precision
DOH000000000002884,2884,GENERAL EMILIO AGUINALDO RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, ,MAGALLANES STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,GENERAL EMILIO AGUINALDO,42107000, , ,4124.0, , , ,rhu_aguinaldo@yahoo.com, , ,GLORIANI,VICENTE,HAYAG,Municipal Health Officer,,,,120.7959491,14.1843767,GEOMETRIC_CENTER
DOH000000000003362,3362,SAN ROQUE RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, ,F. MAÑALAC STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CAVITE CITY,42105000,BARANGAY 54-A (PECHAY A),042105080,4100.0, , , ,cavitecity_cho@yahoo.com, , ,SOSA,ARMIDA, ,Public Health Nurse,,,,120.901813,14.4835077,ROOFTOP
DOH000000000003604,3604,MENDEZ (MENDEZ-NUÑEZ) RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, ,RIZAL STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,MENDEZ (MENDEZ-NU?EZ),42114000,POBLACION II (BARANGAY II),042114008,4021.0,+63 468610308, ,+63 464130601,ellenpeji@yahoo.com, , ,AUDITOR,JOSE,NOCEDA,Municipal Health Officer,,,,120.904606,14.129568,GEOMETRIC_CENTER
DOH000000000003836,3836,STRIKE SA SERBISYO HEALTH UNIT II (FLORAVILLE),FLORAVILLE MAIN HEALTH CENTER,BACOOR RURAL HEALTH UNIT II,,Rural Health Unit,Government,Local Government Unit,,FLORAVILLE AVENUE,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,BACOOR CITY,42103000,P.F. ESPIRITU I (PANAPAAN),042103018,4102.0,+63 46436-1948,,,floraville.rhu@gmail.com,,,GUEVARRA,MARITA,TORRES,Medical Officer,Not Applicable,,,120.9905595,14.4124209,GEOMETRIC_CENTER
DOH000000000004170,4170,IMUS CITY HEALTH OFFICE I, , , ,Rural Health Unit,Government,Local Government Unit, ,VELARDE SUBDIVISION, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,IMUS CITY,42109000,MEDICION   I-C,042109073,4103.0,+63 464344057, , , , , ,MINA,FERDINAND,P.,City Health Officer,,,,120.936108,14.428732,ROOFTOP
DOH000000000004686,4686,MARAGONDON RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,MARAGONDON,42113000,GARITA I A,042113008,4112.0,+63 464121432, ,+63 464121432,maragondonrhu@yahoo.com, , ,DIEZ,RUFINO,SINGSON,Municipal Health Officer,,,,120.732328,14.279005,GEOMETRIC_CENTER
DOH000000000004887,4887,GEN. MARIANO ALVAREZ RURAL HEALTH UNIT I, , , ,Rural Health Unit,Government,Local Government Unit, ,BLOCK 11-B, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,GEN. MARIANO ALVAREZ,42123000,GREGORIA DE JESUS,042123014,4117.0,+63 469722017, , ,gmarhu@yahoo.com, , ,ALCASID,EDUARDO, ,Municipal Health Officer,,,,121.0128719,14.3047825,GEOMETRIC_CENTER
DOH000000000005036,5036,IMUS CITY HEALTH OFFICE II,,,,Rural Health Unit,Government,Local Government Unit,,,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,IMUS CITY,42109000,POBLACION III-A (POB.),042109008,4103.0,+63 464715560,,,,,,CORONADO,RHODORA,J.,Rural Health Physician,,,,120.936108,14.428732,ROOFTOP
DOH000000000005140,5140,IMUS CITY HEALTH OFFICE III, , , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,IMUS CITY,42109000,POBLACION III-B,042109090,4103.0,+63 464719734,+63 9175524799, , , , ,CALINGASAN,RONALDO,I.,City Health Officer,,,,120.936108,14.428732,ROOFTOP
DOH000000000005303,5303,DASMARIÑAS CITY HEALTH OFFICE I,,,,Rural Health Unit,Government,Local Government Unit,,D. MANGUBAT STREET,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CITY OF DASMARI?AS,42106000,ZONE  II (POB.),042106017,4115.0,+63 464160279,,+63 464160279,cho1_dasma@ymail.com,,,CRISTOBAL,CYNTHIA,MORALES,City Health Officer,,,,120.98203,14.316577,GEOMETRIC_CENTER
DOH000000000005542,5542,TAGAYTAY CITY HEALTH OFFICE, , , ,Rural Health Unit,Government,Local Government Unit, ,AKLE STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,TAGAYTAY CITY,42119000,KAYBAGAL SOUTH (POB.),042119008,4120.0,+63 464830604, ,+63 46 4830604,chotagaytay@yahoo.com, , ,MANGAYA,ROSALINDA,R.,City Health Officer,,,,120.9382021,14.1000019,ROOFTOP
DOH000000000005793,5793,TERNATE RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, ,GOVERNOR DRIVE, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,TERNATE,42121000,SAN JUAN I,042121007,4111.0,+63 464120164, , , , , ,ARANDIA,GINALYNN,Y.,Municipal Health Officer,,,,120.6779909,14.2747809,GEOMETRIC_CENTER
DOH000000000005869,5869,NOVELETA HEALTH CENTER,NOVELETA RURAL HEALTH UNIT,,,Rural Health Unit,Government,Local Government Unit,,,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,NOVELETA,42116000,POBLACION,042116002,4105.0,+63 464381828,,,noveletarhu@gmail.com,,,BUCU,MARIA HILDA,CALIBUSO,Municipal Health Officer,,,,120.8805366,14.4276784,GEOMETRIC_CENTER
DOH000000000006126,6126,NAIC RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, ,CAPTAIN CIRIACO NAZARENO STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,NAIC,42115000,CAPT. C. NAZARENO (POB.),042115006,4110.0,+63 465070781,+63 464120296,+63 465070781,naicrhu@yahoo.com, , ,ANSELMO SE,SUSAN,J.,Municipal Health Officer,,,,120.7645208,14.318996,GEOMETRIC_CENTER
DOH000000000006907,6907,CARIDAD RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, ,P. PATERNO STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CAVITE CITY,42105000,BARANGAY 39 (JASMIN),042105033,4100.0, , , , , , ,DOMINGO,JET, ,Rural Health Physician,,,,120.896185,14.4793151,GEOMETRIC_CENTER
DOH000000000007369,7369,GENERAL TRIAS RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CITY OF GENERAL TRIAS,42108000,SAMPALUCAN POB. (BGY. 2),042108004,4119.0,+63 464378184, ,+63 465091250,mesu_gentri@yahoo.com, , ,ESCARIO,ABE,DESTURA,Municipal Health Officer,,,,120.880403,14.386603,GEOMETRIC_CENTER
DOH000000000007370,7370,TANZA RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,TANZA,42120000,DAANG AMAYA I,042120009,4108.0,+63 464841485, , , , , ,PUNZALAN,RUTH,S.,Municipal Health Officer,,,,120.837636,14.3553685,GEOMETRIC_CENTER
DOH000000000007374,7374,MAGALLANES RURAL HEALTH UNIT AND LYING IN CLINIC,MAGALLANES RURAL HEALTH UNIT, , ,Rural Health Unit,Government,Local Government Unit, , , ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,MAGALLANES,42112000,KABULUSAN,042112014,4113.0, , , ,magallanesrhu207@yahoo.com, , ,BACOLOD,JOSE JEMMEL,B.,Municipal Health Officer,,,,120.7408996,14.1776224,GEOMETRIC_CENTER
DOH000000000007375,7375,AMADEO RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, ,"MUNICIPAL BUILDING OF AMADEO, A. MABINI STREET", ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,AMADEO,42102000,BARANGAY VI (POB.),042102019,4119.0,+63 464833022, , , , , ,VILLANUEVA,MELINDA, ,Rural Health Physician,,,,120.9220843,14.1702662,GEOMETRIC_CENTER
DOH000000000007377,7377,INDANG RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, ,J. DIMABILING STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,INDANG,42110000,BARANGAY  4 (POB.),042110026,4122.0,+63 464150286, ,+63 464150286,indangrhu@yahoo.com, , ,ALEGRE,ROSA, ,Municipal Health Officer,,,,120.8678484,14.1928331,GEOMETRIC_CENTER
DOH000000000007404,7404,BULIHAN RURAL HEALTH UNIT,,,,Rural Health Unit,Government,Local Government Unit,,"ZONE 6 BULILAN SILANG, AFP HOUSING",,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,SILANG,42118000,BULIHAN,042118011,4118.0,,,,,,,PAU,VIOLETA,D.,Municipal Health Officer,,,,120.9967892,14.2787687,GEOMETRIC_CENTER
DOH000000000007405,7405,SILANG RURAL HEALTH UNIT, , , ,Rural Health Unit,Government,Local Government Unit, ,OLD CAPARAS BUILDING, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,SILANG,42118000,BARANGAY  III (POB.),042118034,4118.0,+63 464142925, ,+63 464142925,amanciro@gmail.com, , ,PANG,LUZ,JAURIQUE,Municipal Health Officer,,,,120.9730366,14.2193914,GEOMETRIC_CENTER
DOH000000000016170,16170,STRIKE SA SERBISYO HEALTH UNIT III (SALINAS),SALINAS I BARANGAY HEALTH STATION,,,Rural Health Unit,Government,Local Government Unit,,SALINAS STREET,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,BACOOR CITY,42103000,SALINAS I,042103020,4102.0,,,,jeremiemendez@gmail.com,,,MARQUEZ,MICHAEL ANGELO,JACINTO,Medical Officer,Not Applicable,,,120.9743122,14.4179779,ROOFTOP
DOH000000000016759,16759,DALAHICAN HEALTH CENTER, , , ,Rural Health Unit,Government,Local Government Unit, ,REYES STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CAVITE CITY,42105000,BARANGAY 3 (HEN. E. AGUINALDO),042105023,4100.0, , , , , , ,REYES,MERCEDITA,P.,Municipal Health Officer,,,,120.8849185,14.4630196,GEOMETRIC_CENTER
DOH000000000016766,16766,SAN ANTONIO HEALTH CENTER, , , ,Rural Health Unit,Government,Local Government Unit, ,RODRIGUEZ STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CAVITE CITY,42105000,BARANGAY 45-A (KAUNLARAN A),042105073,4100.0,+63 464311618, , , , , ,MENDOZA,ARNOLD,C.,Rural Health Physician,,,,120.885728,14.4689547,GEOMETRIC_CENTER
DOH000000000025712,25712,STRIKE SA SERBISYO CITY HEALTH UNIT VI (QUEENS ROW),QUEENS ROW MAIN HEALTH CENTER,,,Rural Health Unit,Government,Local Government Unit,,BLOCK 1 LOT 2 SANTAN STREET,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,BACOOR CITY,42103000,QUEENS ROW WEST,042103028,4102.0,+63 46436-1626,,,,,,LOPEZ,MANUEL,PALAD,Medical Officer,Not Applicable,,,120.9796821,14.3425861,GEOMETRIC_CENTER
DOH000000000025698,25698,STRIKE SA SERBISYO LYING-IN AND HEALTH CENTER (GREEN VALLEY),GREEN VALLEY HEALTH CENTER,,,Rural Health Unit,Government,Local Government Unit,,M. ALVAREZ EXTENSION,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,BACOOR CITY,42103000,MOLINO II,042103045,4102.0,+63 464172253,,,abby_buging05@yahoo.com,,,DE OCAMPO,ORLANDO,ROXAS,Medical Officer,Not Applicable,,,120.8785658,14.2456329,APPROXIMATE
DOH000000000025700,25700,STRIKE SA SERBISYO CITY HEALTH UNIT V (MOLINO III),MOLINO III MAIN HEALTH CENTER,,,Rural Health Unit,Government,Local Government Unit,,MALINIS COMPOUND,,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,BACOOR CITY,42103000,MOLINO III,042103046,4102.0,,,,rubilyn.s@yahoo.com,,,SANTIAGO,RUBILYN,SALDAÑA,Medical Officer,Not Applicable,,,120.9781804,14.3976499,ROOFTOP
DOH000000000025695,25695,STRIKE SA SERBISYO LYING-IN AND CITY HEALTH UNIT IV,BAYANAN MAIN HEALTH CENTER,,,Rural Health Unit,Government,Local Government Unit,,MOLINO I,SAGIP BUHAY RECOVERY AND CITY HEALTH CENTER BUILDING,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,BACOOR CITY,42103000,BAYANAN,042103004,4102.0,+63 46437-1560,,,bayananchu@yahoo.com,,,ASERON,GRACE,ALIS,Rural Health Physician,Not Applicable,,,120.9796821,14.3425861,GEOMETRIC_CENTER
DOH000000000025762,25762,CAVITE SOCIAL HYGIENE CLINIC, , , ,Rural Health Unit,Government,Local Government Unit, ,F. DELA CRUZ STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CAVITE CITY,42105000,BARANGAY 39 (JASMIN),042105033,4100.0, , , , , , ,TERRADO,LOIDA,S.,City Health Officer,,,,120.9558005,14.4482667,GEOMETRIC_CENTER
DOH000000000025788,25788,SANTA CRUZ HEALTH CENTER, , , ,Rural Health Unit,Government,Local Government Unit, ,ALEJANDRO STREET, ,REGION IV-A (CALABAR ZON),40000000,CAVITE,42100000,CAVITE CITY,42105000,BARANGAY 12 (LOVE BIRD),042105005,4100.0, , , , , , ,PORTUGUEZ,ROLANDO,S.,Rural Health Physician,,,,120.896185,14.4793151,GEOMETRIC_CENTER
